Frame,Sub Frame,RF,BF,MG,LG,AT
1,0,0.00492096,0.00988007,0.161972,-0.0209808,0.0545883
1,1,0.00637054,0.0192642,0.0203323,0.0143814,0.0535202
1,2,0.00598907,0.0312424,0.0255203,0.0209045,0.0426865
1,3,0.00175476,0.018959,-0.152664,0.0334167,0.0271606
1,4,0.000991821,0.000762939,-0.0795364,0.000762939,0.0294495
2,0,0.000572205,0.00259399,-0.00434875,0.0112534,0.0391388
2,1,-0.000686646,0.00740051,0.00988007,0.0443268,0.0481796
2,2,3.81E-05,0.00434875,0.120735,0.094223,0.062027
2,3,-0.00190735,-0.00144958,0.026474,0.168152,0.0662994
2,4,-0.00320435,-0.0069809,0.00839233,0.0950241,0.0588608
3,0,-0.00354767,-0.00843048,0.0750732,-0.0453949,0.0628281
3,1,-0.000915527,-0.00862122,0.0600815,-0.102615,0.071907
3,2,0.00328064,0.00679016,0.0585556,0.0457764,0.0815964
3,3,0.00179291,0.00232697,0.102119,0.219078,0.0610352
3,4,0.00793457,-0.0187302,0.127296,0.141449,0.0488663
4,0,0.0069046,-0.0222778,0.0657654,0.102615,0.0510025
4,1,0.0100708,-3.81E-05,0.0956726,0.0978851,0.0595856
4,2,0.00667572,0.0435257,0.0703049,0.060463,0.053978
4,3,0.0030899,-0.000419617,0.0860977,0.029335,0.0457001
4,4,0.000343323,-0.0362396,0.206223,0.0424957,0.0429535
5,0,-0.000190735,-0.0278854,0.193481,0.0999451,0.0440979
5,1,-0.00392914,-0.0151062,0.205688,0.157928,0.0489044
5,2,-0.00236511,0.00419617,0.114021,0.0102234,0.0479889
5,3,0.000419617,-0.00301361,-0.0285721,-0.029335,0.0468445
5,4,0.00190735,-0.0242996,-0.0200653,0.0369263,0.0587082
6,0,0.00339508,-0.0123215,-0.258865,0.0606155,0.0756836
6,1,0.000572205,-0.000915527,-0.0310898,0.000724792,0.0850296
6,2,-0.00522614,0.0251389,0.092926,-0.0285721,0.08461
6,3,-0.00747681,0.0341415,-0.0583649,0.0724792,0.0794983
6,4,-0.00938416,0.0159454,-0.0564957,0.0276184,0.0701904
7,0,-0.0120544,-0.00236511,0.030899,-0.0156403,0.0498199
7,1,-0.00675201,-0.0154495,0.0413132,0.000610352,0.0498581
7,2,-0.00297546,-0.0224686,0.0582504,0.0113678,0.0478363
7,3,0.00209808,-0.0190353,0.0274658,0.0407791,0.0543594
7,4,-0.00209808,-0.0139999,0.209389,0.110092,0.0524521
8,0,-0.00217438,-0.00114441,0.352707,0.121651,0.0374603
8,1,-3.81E-05,0.0143433,0.0615692,0.11116,0.0308228
8,2,-0.000267029,0.0137329,-0.283203,0.0684357,0.0153351
8,3,-0.00312805,0.00671387,-0.0977325,0.0466156,0.0193405
8,4,-0.00461578,0.0102234,-0.0625992,-0.0253296,0.0403976
9,0,-0.00579834,0.00617981,-0.0897598,0.0117111,0.0646973
9,1,-0.00205994,0.00659943,0.0195694,0.0574875,0.0594711
9,2,0.000305176,0.00679016,0.0746155,0.0568771,0.0568771
9,3,0.00511169,0.00431061,0.0711823,0.0718307,0.0617599
9,4,0.00465393,0.00595093,0.0791168,0.0853729,0.0717163
10,0,0.00347137,0.0056839,0.0886154,0.0934982,0.0725937
10,1,0.0069046,0.00423431,0.0675583,0.0764847,0.0708771
10,2,0.0137329,0.00473022,0.0812149,0.0723267,0.0701523
10,3,0.0209808,0.0044632,0.100327,0.0714874,0.0603867
10,4,0.0150299,0.00354767,0.0980377,0.0727844,0.0470352
11,0,0.00144958,0.00240326,0.0960541,0.0808716,0.0515747
11,1,-0.00171661,0.00152588,0.0934982,0.0788879,0.0664139
11,2,-0.0122833,0.000267029,0.0949097,0.0469971,0.0675964
11,3,-0.0241089,0.000915527,0.0938034,0.0514603,0.0619507
11,4,-0.0291061,0.00152588,0.0867462,0.0785828,0.0517654
12,0,-0.0257492,-0.00347137,0.0891113,0.0735474,0.0526428
12,1,-0.0187302,-0.00354767,0.0725174,0.0510406,0.0572205
12,2,-0.00411987,0.000495911,0.0615311,0.0558853,0.0633621
12,3,0.00545502,0.00244141,0.0553894,0.0600052,0.0624466
